name	latitude	longitude
Afghanistan	33	66
Albania	41	20
Algeria	28	3
Andorra	42.55	1.58333
Angola	-12.5	18.5
Antigua and Barbuda	17.05	-61.8
Argentina	-34	-64
Armenia	40.25	45
Australia	-25	135
Austria	47.33333	13.33333
Azerbaijan	40.5	47.5
Bahrain	26.03333	50.55
Bangladesh	24	90
Barbados	13.16453	-59.55165
Belarus	53	28
Belgium	50.75	4.5
Belize	17.25	-88.75
Benin	9.5	2.25
Bhutan	27.5	90.5
Bolivia	-17	-65
Bosnia and Herzegovina	44.25	17.83333
Botswana	-22	24
Brazil	-10	-55
Brunei	4.5	114.66667
Bulgaria	42.66667	25.25
Burkina Faso	12.5	-1.66667
Burundi	-3.5	30
Cambodia	13	105
Cameroon	6	12.5
Canada	60.10867	-113.64258
Cape Verde	16	-24
Central African Republic	7	21
Chad	15	19
Chile	-30	-71
China	35	105
Colombia	4	-73.25
Comoros	-12.23333	44.44553
Congo	-1	15.5
Democratic Republic of Congo	-2.5	23.5
Costa Rica	10	-84
Croatia	45.16667	15.5
Cuba	22	-79.5
Cyprus	35	33
Czechia	49.75	15
Denmark	56	10
Djibouti	11.83333	42.5
Dominica	15.5	-61.33333
Dominican Republic	19	-70.66667
East Timor	-8.83333	125.75
Ecuador	-1.25	-78.25
Egypt	27	30
El Salvador	13.83333	-88.91667
Equatorial Guinea	1.7	10.5
Eritrea	15	39
Estonia	59	26
Eswatini	-26.5	31.5
Ethiopia	9	39.5
Fiji	-18	178
Finland	64	26
France	46	2
Gabon	-1	11.75
Georgia	41.99998	43.4999
Germany	51.5	10.5
Ghana	8.1	-1.2
Greece	39	22
Grenada	12.11667	-61.66667
Guatemala	15.5	-90.25
Guinea	10.83333	-10.66667
Guinea-Bissau	12	-15
Guyana	5	-59
Haiti	19.07582	-72.29616
Honduras	15	-86.5
Hungary	47	20
Iceland	65	-18
India	22	79
Indonesia	-5	120
Iran	32	53
Iraq	33	44
Ireland	53	-8
Israel	31.5	34.75
Italy	42.83333	12.83333
Ivory Coast	8	-5.5
Jamaica	18.16667	-77.25
Japan	35.68536	139.75309
Jordan	31	36
Kazakhstan	48	68
Kenya	1	38
Kiribati	1.421	172.984
Kosovo	42.58333	20.91667
Kuwait	29.5	47.75
Kyrgyzstan	41.5	75
Laos	18	105
Latvia	57	25
Lebanon	33.83333	35.83333
Lesotho	-29.5	28.25
Liberia	6.5	-9.5
Libya	28	17
Liechtenstein	47.16667	9.53333
Lithuania	55.41667	24
Luxembourg	49.75	6.16667
Madagascar	-20	47
Malawi	-13.5	34
Malaysia	2.5	112.5
Maldives	3.2	73
Mali	18	-2
Malta	35.91667	14.43333
Marshall Islands	7.11	171.6666
Mauritania	20.25	-10.5
Mauritius	-20.3	57.58333
Mexico	23	-102
Federated States of Micronesia	23.75	54.5
Moldova	47.25	28.58333
Monaco	43.73141	7.41903
Mongolia	46	105
Montenegro	42.75	19.25
Morocco	28.5	-10
Mozambique	-18.25	35
Myanmar (Burma)	21	96
Namibia	-22	17
Nauru	-0.517	166.933
Nepal	28	84
Netherlands	52.25	5.75
New Zealand	-42	174
Nicaragua	13	-85
Niger	18	9
Nigeria	10	8
North Korea	40	127
North Macedonia	41.66667	21.75
Norway	62	10
Oman	21	57
Pakistan	30	70
Palau	7.5	134.62
Palestine	31.9	35.2
Panama	9	-80
Papua New Guinea	-6	147
Paraguay	-23.33333	-58
Peru	-10	-75.25
Philippines	13.40882	122.56155
Poland	52	20
Portugal	39.6945	-8.13057
Qatar	25.5	51.25
Romania	46	25
Russia	60	100
Rwanda	-2	30
St Kitts and Nevis	17.33333	-62.75
St Lucia	13.88333	-60.96667
St Vincent	13.25	-61.2
Samoa	-13.8	-172.13333
San Marino	43.9367	12.4463
Sao Tome and Principe	1	7
Saudi Arabia	25	45
Senegal	14.5	-14.25
Serbia	44.81892	20.45998
Seychelles	-4.58333	55.66667
Sierra Leone	8.5	-11.5
Singapore	1.36667	103.8
Slovakia	48.66667	19.5
Slovenia	46.08333	15
Solomon Islands	-8	159
Somalia	6	48
South Africa	-29	24
South Korea	36.5	127.75
South Sudan	7.5	30
Spain	40	-4
Sri Lanka	7.75	80.75
Sudan	16	30
Suriname	4	-56
Sweden	62	15
Switzerland	47.00016	8.01427
Syria	35	38
Tajikistan	39	71
Tanzania	-6	35
Thailand	15.5	101
The Bahamas	25.04082	-77.37122
The Gambia	13.5	-15.5
Togo	8.66667	1.08333
Tonga	-20	-175
Trinidad and Tobago	11	-61
Tunisia	34	9
Turkey	39	35
Turkmenistan	39.75	59.66667
Tuvalu	-8.51719	179.14478
Uganda	1.25	32.5
Ukraine	49	32
United Arab Emirates	23.75	54.5
United Kingdom	54.75844	-2.69531
United States	39.76	-98.5
Uruguay	-33	-56
Uzbekistan	41.66667	63.83333
Vanuatu	-16.3333	167.5
Vatican City	41.90225	12.4533
Venezuela	8	-66
Vietnam	16.16667	107.83333
Yemen	15.5	47.5
Zambia	-14.33333	28.5
Zimbabwe	-19	29.75
EU	50.846667	4.3525
European Union	50.846667	4.3525
UAE	23.75	54.5
UK	54.75844	-2.69531
US	39.76	-98.5